,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,Pk,attend_college,conference,FINAL_5Yrs,3PA_Shot,AST_TOV,True_FG%,PPP,FTR,TOV%,Hasst%,Team_BOS,Team_CHA,Team_CHI,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GSW,Team_HOU,Team_IND,Team_LAC,Team_LAL,Team_MEM,Team_MIA,Team_MIL,Team_MIN,Team_NJN,Team_NOH,Team_NYK,Team_OKC,Team_ORL,Team_PHI,Team_PHO,Team_POR,Team_SAC,Team_SAS,Team_TOR,Team_UTA,Team_WAS
0,29,11.79,4.0,1.45,2.59,0.56,0.03,0.07,0.5,1.07,1.31,0.816,1.03,1.62,2.66,0.38,0.45,0.52,0.59,0,1,1,1,1,0.6440677966101696,69.48787436592315,1.0648493238206795,50.57915057915059,15.706527526355021,9.086018291589456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,81,25.41,9.23,3.41,7.75,0.439,0.64,1.79,0.359,1.78,2.35,0.758,0.65,3.46,4.11,1.21,0.64,0.17,1.25,0,1,1,1,1,0.968,55.8243619208903,0.9198724337253339,30.32258064516129,12.457644010364758,10.683147555457454,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,73,12.25,4.04,1.62,4.23,0.382,0.12,0.89,0.138,0.68,0.89,0.769,0.49,1.49,1.99,0.79,0.47,0.12,0.82,0,1,0,1,1,0.9634146341463415,45.64146594965881,0.7424286974419287,21.040189125295505,15.069097324316374,12.614266895533113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,56,31.16,13.93,5.04,12.27,0.41,1.62,4.21,0.386,2.23,2.84,0.7859999999999999,0.77,3.0,3.77,2.45,0.89,0.52,1.61,0,1,1,1,1,1.5217391304347827,54.01402115581475,0.920711717428088,23.145884270578645,10.641391708967852,13.858249901012504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,78,17.35,5.03,1.81,4.71,0.384,0.81,2.46,0.32799999999999996,0.6,0.94,0.644,0.45,1.95,2.4,1.21,0.81,0.22,0.63,0,1,0,1,1,1.9206349206349205,51.1511552229092,0.8742352614015574,19.95753715498938,10.949666295884317,17.29436146644751,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,3.25,2.0,0.75,1.75,0.429,0.25,0.38,0.667,0.25,0.25,1.0,0.12,0.25,0.38,0.12,0.12,0.0,0.25,0,1,1,0,1,0.48,55.4016620498615,0.947867298578199,14.285714285714285,11.848341232227487,5.360134003350084,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,64,28.84,13.55,5.45,10.56,0.516,0.0,0.09,0.0,2.64,3.52,0.7509999999999999,2.58,5.58,8.16,0.98,1.17,1.75,1.39,0,1,1,1,1,0.7050359712230216,59.773785996612084,1.003792929741903,33.33333333333333,10.297211603994427,6.711409395973153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,60,20.72,7.93,3.47,5.7,0.608,0.02,0.03,0.5,0.98,2.65,0.371,2.82,4.8,7.62,0.5,0.98,1.58,0.95,0,1,0,1,1,0.5263157894736842,63.106796116504846,1.0145854657113613,46.49122807017543,12.154554759467757,5.946187007581389,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,41,9.93,2.9,1.02,2.73,0.375,0.34,1.22,0.28,0.51,0.71,0.7240000000000001,0.2,0.71,0.9,0.63,0.39,0.07,0.46,0,1,0,0,1,1.3695652173913042,50.23906867160972,0.8280036546368205,26.007326007326004,13.133851073549568,15.154248601840159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,78,14.36,2.45,0.95,2.17,0.43799999999999994,0.0,0.0,0.0,0.55,1.04,0.531,1.81,2.21,4.01,0.28,0.29,0.95,0.81,0,1,1,0,0,0.34567901234567905,51.06720026680007,0.7127065394461252,47.92626728110599,23.562950895973938,7.4587107085775175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
