,Name,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Draft_Yr,Pk,Team,College,attend_college,conference,FINAL_5Yrs,3PA_Shot,AST_TOV,True_FG%,PPP,FTR,TOV%,Hasst%
0,Andrew Harrison,35,26.9,7.2,2.0,6.7,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2.0,2.4,3.7,1.1,0.5,1.6,0.0,2015,44,PHO,University of Kentucky,1,1,0,1,2.3125,48.33512352309345,0.7349938750510413,50.74626865671642,16.333197223356475,27.175908923980902
1,Malik Sealy,58,11.6,5.7,2.3,5.5,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1.0,0.9,1.9,0.8,0.6,0.1,1.0,1.0,1992,14,IND,St. John's University,1,0,1,1,0.8,49.25682682336675,0.8059954751131222,23.636363636363637,14.14027149321267,10.104199557941271
2,Matt Geiger,48,11.5,4.5,1.6,3.0,52.4,0.0,0.1,0.0,1.3,1.9,67.4,1.0,1.5,2.5,0.3,0.3,0.4,0.8,1.0,1992,42,MIA,Georgia Institute of Technology,1,1,1,1,0.37499999999999994,65.82796957284963,0.9706643658326143,63.33333333333333,17.25625539257981,5.997001499250375
3,Tony Bennett,75,11.4,3.7,1.5,3.5,42.3,0.3,1.1,32.5,0.4,0.5,73.2,0.2,0.7,0.8,1.8,0.4,0.0,0.7,0.0,1992,35,NOH,University of Wisconsin-Green Bay,1,1,0,1,2.5714285714285716,51.24653739612188,0.8371040723981901,14.285714285714285,15.837104072398189,28.857715430861724
4,Don MacLean,62,10.9,6.6,2.5,5.8,43.5,0.0,0.1,50.0,1.5,1.8,81.1,0.5,1.4,2.0,0.6,0.2,0.1,0.7,1.0,1992,19,DET,"University of California, Los Angeles",1,1,1,1,0.8571428571428572,53.26016785022595,0.9051014810751509,31.03448275862069,9.599561162918265,7.542426147077311
5,Tracy Murray,48,10.3,5.7,2.3,5.4,41.5,0.4,1.5,30.0,0.7,0.8,87.5,0.8,0.9,1.7,0.2,0.2,0.1,0.7,1.0,1992,18,SAS,"University of California, Los Angeles",1,1,1,1,0.28571428571428575,51.111908177905306,0.8834469931804091,14.814814814814813,10.849349039057653,2.9940119760479043
6,Duane Cooper,65,9.9,2.4,1.0,2.4,39.2,0.1,0.5,23.3,0.4,0.5,71.4,0.2,0.6,0.8,2.3,0.3,0.0,1.1,0.0,1992,36,LAL,University of Southern California,1,1,0,1,2.0909090909090904,47.808764940239044,0.6451612903225806,20.833333333333336,29.56989247311828,38.095238095238095
7,Dave Johnson,42,8.5,3.7,1.4,3.5,38.3,0.1,0.3,21.4,1.0,1.4,67.8,0.4,0.7,1.1,0.3,0.2,0.0,0.7,0.0,1992,26,POR,Syracuse University,1,1,0,1,0.4285714285714286,48.58193277310925,0.7682724252491695,40.0,14.534883720930234,5.808325266214908
8,Corey Williams,35,6.9,2.3,0.9,2.4,36.5,0.0,0.1,33.3,0.5,0.6,81.8,0.5,0.3,0.9,0.7,0.1,0.1,0.3,0.0,1992,33,CHI,Oklahoma State University,1,1,0,1,2.3333333333333335,45.418641390205366,0.775978407557355,25.0,10.121457489878544,18.99592944369064
9,P.J. Hairston,45,15.3,5.6,1.9,6.0,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2.0,0.5,0.5,0.3,0.5,0.0,2014,26,MIA,University of North Carolina,1,1,0,1,1.0,45.33678756476684,0.8172796263864565,13.333333333333334,7.297139521307646,6.775067750677508
